v1,v2,v3,v4
77,77.9,59.7,Municipal - DAEM
4,100,100,Municipal - DAEM
2,100,100,Municipal - DAEM
11,90.9,45.5,Municipal - DAEM
31,87.1,77.4,Municipal - DAEM
97,93.8,69.1,Municipal - DAEM
128,84.4,57,Municipal - DAEM
5,80,40,Municipal - DAEM
7,100,71.4,Municipal - DAEM
21,95.2,66.7,Municipal - DAEM
1,100,100,Municipal - DAEM
2,50,50,Municipal - DAEM
65,95.4,67.7,Municipal - DAEM
11,100,81.8,Municipal - DAEM
9,100,88.9,Municipal - DAEM
3,100,100,Municipal - DAEM
6,83.3,33.3,Municipal - DAEM
316,86.7,64.6,Particular Subvencionado
3,100,100,Particular Subvencionado
11,90.9,72.7,Municipal - DAEM
10,100,80,Particular Subvencionado
70,82.9,52.9,Municipal - DAEM
505,81.6,60.6,Municipal - DAEM
160,84.4,61.3,Municipal - DAEM
341,74.8,52.8,Municipal - DAEM
196,84.7,68.9,Municipal - DAEM
82,86.6,62.2,Municipal - DAEM
77,87,70.1,Municipal - DAEM
78,83.3,60.3,Municipal - DAEM
43,81.4,48.8,Municipal - DAEM
9,88.9,66.7,Municipal - DAEM
18,94.4,72.2,Municipal - DAEM
312,84.6,65.1,Municipal - DAEM
9,77.8,66.7,Municipal - DAEM
27,81.5,59.3,Municipal - DAEM
6,100,66.7,Municipal - DAEM
689,58.2,35.1,Particular Subvencionado
125,86.4,59.2,Particular Subvencionado
2,100,100,Particular Subvencionado
15,100,93.3,Particular Subvencionado
1,100,100,Particular Subvencionado
42,95.2,83.3,Particular Subvencionado
2,100,50,Particular Subvencionado
2,100,100,Particular Subvencionado
5,80,60,Particular Subvencionado
7,71.4,57.1,Particular Subvencionado
11,100,90.9,Particular Subvencionado
16,93.8,81.3,Particular Subvencionado
4,100,25,Particular Subvencionado
1,100,100,Particular Subvencionado
5,80,60,Particular Subvencionado
52,88.5,57.7,Particular Subvencionado
5,100,100,Particular Subvencionado
5,100,100,Particular Subvencionado
4,100,75,Particular Subvencionado
8,100,75,Particular Subvencionado
30,100,70,Municipal - DAEM
311,81.7,58.8,Municipal - DAEM
108,75,51.9,Municipal - DAEM
92,81.5,50,Municipal - DAEM
84,83.3,63.1,Municipal - DAEM
79,92.4,60.8,Municipal - DAEM
136,72.1,41.9,Municipal - DAEM
121,75.2,50.4,Municipal - DAEM
7,85.7,71.4,Municipal - DAEM
40,82.5,42.5,Municipal - DAEM
25,84,40,Municipal - DAEM
23,78.3,78.3,Municipal - DAEM
70,84.3,57.1,Municipal - DAEM
23,95.7,47.8,Municipal - DAEM
62,77.4,40.3,Municipal - DAEM
43,86,65.1,Municipal - DAEM
546,59,33,Particular Subvencionado
11,90.9,72.7,Particular Subvencionado
8,87.5,62.5,Particular Subvencionado
